Produktfamilie,Produkttyp,Gewicht,A1-A3,A4,A5,C1,C2,C3,C4,D,A1-A3,A4,A5,C1,C2/1,C3/1,C4/1,D/1
Lamellendecken,LMD-L 608,11.176,29.74,0.1,0.96,0,0.1,0.29,0.03,-17.56,29.74,0.1,0.96,0,0.48,0.29,0,-25.78
Lamellendecken,LMD-L 608,10.72266667,28.53,0.1,0.92,0,0.09,0.29,0.02,-16.85,28.53,0.1,0.92,0,0.46,0.29,0,-24.73
Lamellendecken,LMD-L 608,10.498,27.93,0.1,0.9,0,0.09,0.29,0.02,-16.5,27.93,0.1,0.9,0,0.45,0.29,0,-24.21
Lamellendecken,LMD-L 608,12.792,34.03,0.12,1.1,0,0.11,0.29,0.03,-20.1,34.03,0.12,1.1,0,0.54,0.29,0,-29.5
Lamellendecken,LMD-L 608,11.344,30.18,0.1,0.98,0,0.1,0.29,0.03,-17.83,30.18,0.1,0.98,0,0.48,0.29,0,-26.16
Lamellendecken,LMD-L 608,10.86133333,28.9,0.1,0.93,0,0.09,0.29,0.03,-17.07,28.9,0.1,0.93,0,0.46,0.29,0,-25.05
Lamellendecken,LMD-L 608,10.62,28.26,0.1,0.91,0,0.09,0.29,0.02,-16.69,28.26,0.1,0.91,0,0.45,0.29,0,-24.49
Lamellendecken,LMD-L 608,13.056,34.74,0.12,1.12,0,0.11,0.29,0.03,-20.52,34.74,0.12,1.12,0,0.56,0.29,0,-30.11
Lamellendecken,LMD-L 608,11.516,30.64,0.1,0.99,0,0.1,0.29,0.03,-18.1,30.64,0.1,0.99,0,0.49,0.29,0,-26.56
Lamellendecken,LMD-L 608,11,29.27,0.1,0.95,0,0.09,0.29,0.03,-17.29,29.27,0.1,0.95,0,0.47,0.29,0,-25.37
Lamellendecken,LMD-L 608,10.742,28.58,0.1,0.92,0,0.09,0.29,0.02,-16.88,28.58,0.1,0.92,0,0.46,0.29,0,-24.77
Lamellendecken,LMD-L 608,13.32,35.44,0.12,1.15,0,0.11,0.29,0.03,-20.93,35.44,0.12,1.15,0,0.57,0.29,0,-30.72
Lamellendecken,LMD-L 608,11.684,31.09,0.11,1,0,0.1,0.29,0.03,-18.36,31.09,0.11,1,0,0.5,0.29,0,-26.95
Lamellendecken,LMD-L 608,11.13866667,29.64,0.1,0.96,0,0.09,0.29,0.03,-17.5,29.64,0.1,0.96,0,0.47,0.29,0,-25.69
